Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,1,1,0,0,1,2,0,0,0,0,6
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,1,1,0,0,1,2,0,0,0,0,6
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,1,0,1,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,1,0,0,0,0,0,0,0,0,0,0,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,14,11,15,11,10,8,10,3,3,7,9,14,115
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,7,8,11,12,14,13,8,13,7,7,14,8,122
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,1,1
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,0,0,0,0,0,2,1,0,1,0,0,4
TOTAL DE ROUBO - OUTROS (1),42,46,62,52,45,55,58,58,32,47,42,41,580
ROUBO DE VEÍCULO,33,28,41,27,25,21,25,24,18,13,15,8,278
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,3,2,3,1,5,0,0,1,1,1,1,20
FURTO - OUTROS,52,54,58,56,54,60,55,42,46,60,49,49,635
FURTO DE VEÍCULO,37,22,26,24,43,22,29,37,27,18,22,17,324
