Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,2,1,1,0,0,0,0,2,1,0,0,9.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,2,1,1,0,0,0,0,2,1,0,0,9.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,2,0,0,1,0,0,0,3.0
HOMICÍDIO CULPOSO OUTROS,1,0,0,0,0,0,0,0,0,0,0,0,1.0
TENTATIVA DE HOMICÍDIO,1,1,1,0,0,0,0,1,0,1,0,0,5.0
LESÃO CORPORAL SEGUIDA DE MORTE,1,1,1,0,0,1,0,0,0,0,0,0,4.0
LESÃO CORPORAL DOLOSA,20,30,24,28,25,26,20,29,22,35,26,25,310.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,3,4,3,6,10,4,6,8,7,1,5,59.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,1,1,0,0,0,0,1,1,4.0
LATROCÍNIO,0,0,0,0,1,1,0,0,0,0,0,0,2.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,1,1,0,0,0,0,0,0,2.0
TOTAL DE ESTUPRO (4),0,1,4,0,0,0,2,1,1,0,1,0,10.0
ESTUPRO,0,0,1,0,0,0,1,0,0,0,1,0,3.0
ESTUPRO DE VULNERÁVEL,0,1,3,0,0,0,1,1,1,0,0,0,7.0
TOTAL DE ROUBO - OUTROS (1),109,87,150,96,81,104,98,77,82,72,66,102,1124.0
ROUBO - OUTROS,109,87,149,96,80,104,98,77,82,72,66,102,1122.0
ROUBO DE VEÍCULO,0,0,1,1,1,0,0,1,0,1,1,1,7.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,0,0,1,0,1,0,0,0,0,0,0,0,2.0
FURTO - OUTROS,405,411,476,361,339,295,276,329,342,330,302,333,4199.0
FURTO DE VEÍCULO,19,21,22,20,15,6,9,9,10,11,11,13,166.0
